digit2,desc2,digit3,desc3,digit4,desc
,,,,3810,Engineering & Scientific Instruments
,,,,3820,Measuring And Controlling Devices
,,,,3822,    Environmental Controls
,,,,3823,    Process Control Instruments
,,,,3824,    Fluid Meters And Counting Devices
,,,,3825,    Instruments To Measure Electricity
,,,,3829,"    Measuring & Controlling Eevices, nec"
,,,,3830,    Optical Instruments And Lenses
,,,,3840,    Medical Instruments And Supplies
,,,,3841,    Surgical And Medical Instruments
,,,,3842,    Surgical Appliances And Supplies
,,,,3843,    Dental Equipment And Supplies
,,,,3850,Ophthalmic Goods
,,,,3860,Photographic Equipment And Supplies
,,,,3870,"Watches, Clocks, And Watchcases"
,,,,3900,Miscellaneous Manufacturing Industries
,,,,3910,"    Jewelry, Silverware, And Plated Ware"
,,,,3911,"    Jewelry, Precious Metal"
,,,,3914,    Silverware And Plated Ware
,,,,3915,    Jewelers' Materials & Lapidary Work
,,,,3930,Musical Instruments
,,,,3940,Toys And Sporting Goods
,,,,3942,Dolls
,,,,3944,"Games, Toys, And Children's Vehicles"
,,,,3949,"    Sporting And Athletic Goods, nec"
,,,,3950,"    Pens, Pencils, Office And Art Supplies"
,,,,3951,    Pens And Mechanical Pencils
,,,,3952,    Lead Pencils And Art Goods
,,,,3953,    Marking Devices
,,,,3955,Carbon Paper And Inked Ribbons
,,,,3960,    Costume Jewelry And Notions
,,,,3961,    Costume Jewelry
,,,,3962,Artificial Flowers
,,,,3963,Buttons
,,,,3964,"Needles, Pins, And Fasteners"
,,,,3990,    Miscellaneous Manufactures
,,,,3991,    Brooms And Brushes
,,,,3993,Signs And Advertising Displays
,,,,3995,    Burial Caskets
,,,,3996,    Hard Surface Floor Coverings
,,,,3999,"Manufacturing Industries, nec"
,,,,399\,MFG Administrative And Auxiliary
,,,,40--,Transportation And Public Utilities
,,,,4100,Local And Interurban Passenger Transit
,,,,4110,    Local And Suburban Transportation
,,,,4111,    Local And Suburban Transit
,,,,4119,"Local Passenger Transportation, nec"
,,,,4120,Taxicabs
,,,,4121,*   Taxicabs
,,,,4130,Intercity Highway Transportation
,,,,4131,*   Intercity Highway Transportation
,,,,4140,    Transportation Charter Service
,,,,4141,    Local Passenger Charter Service
,,,,4142,"    Charter Service, Except Loca"
,,,,4150,School Buses
,,,,4151,*   School Buses
,,,,4170,    Bus Terminal And Service Facilities
,,,,4171,    Bus Terminal Facilities
,,,,4172,    Bus Service Facilities
,,,,4200,Trucking And Warehousing
,,,,4210,"Trucking, Local And Long Distance"
,,,,4220,    Public Warehousing
,,,,4221,    Farm Product Warehousing And Storage
,,,,4222,    Refrigerated Warehousing
,,,,4224,    Household Goods Warehousing
,,,,4225,    General Warehousing And Storage
,,,,4226,"    Special Warehousing And Storage, nec"
,,,,4230,Trucking Terminal Facilities
,,,,4231,*   Trucking Terminal Facilities
,,,,4400,Water Transportation
,,,,4410,Deep Sea Foreign Transportation
,,,,4411,*   Deep Sea Foreign Transportation
,,,,4420,    Deep Sea Domestic Transportation
,,,,4421,    Noncontiguous Area Transportation
,,,,4422,    Coastwise Transportation
,,,,4423,    Intercoastal Transportation
,,,,4430,Great Lakes Transportation
,,,,4440,Transportation On Rivers And Canals
,,,,4450,Local Water Transportation
,,,,4460,Water Transportation Services
,,,,4463,    Marine Cargo Handling
,,,,4464,    Canal Operation
,,,,4469,"Water Transportation Services, nec"
,,,,4500,Transportation By Air
,,,,4510,Certificated Air Transportation
,,,,4580,Air Transportation Services
,,,,4600,"Pipe Lines, Except Natural Gas"
,,,,4610,"Pipe Lines, Except Natural Gas"
,,,,4619,"Pipe Lines, nec"
,,,,4700,Transportation Services
,,,,4710,Freight Forwarding
,,,,4712,*   Freight Forwarding
,,,,4720,Arrangement Of Transportation
,,,,4722,    Passenger Transportation Arrangement
,,,,4723,    Freight Transportation Arrangement
,,,,4740,Rental Of Railroad Cars
,,,,4780,Miscellaneous Transportation Services
,,,,4782,Inspection And Weighing Services
,,,,4800,Communication
,,,,4810,Telephone Communication
,,,,4811,*   Telephone Communication
,,,,4820,Telegraph Communication
,,,,4821,*   Telegraph Communication
,,,,4830,Radio And Television Broadcasting
,,,,4890,"Communication Services, nec"
,,,,4899,"*   Communication Services, nec"
,,,,4900,"Electric, Gas, And Sanitary Services"
,,,,4910,Electric Services
,,,,4911,*   Electric Services
,,,,4920,Gas Production And Distribution
,,,,4930,    Combination Utility Services
,,,,4931,    Electric And Other Services Combined
,,,,4932,    Gas And Other Services Combined
,,,,4939,"    Combination Utility Services, nec"
,,,,4940,    Water Supply
,,,,4941,*   Water Supply
,,,,4950,Sanitary Services
,,,,4960,Steam Supply
,,,,4961,*   Steam Supply
,,,,4970,Irrigation Systems
,,,,4971,*   Irrigation Systems
,,,,497\,TRN Administrative And Auxiliary
,,,,50--,Wholesale Trade
,,,,5000,Wholesale Trade-Durable Goods
,,,,5010,Motor Vehicles & Automotive Equipment
,,,,5012,Automobiles And Other Motor Vehicles (Selling)
,,,,5012,    Automobiles And Other Motor Vehicles (Agent/Broker)
,,,,5013,    Automotive Parts And Supplies (Selling)
,,,,5013,    Automotive Parts And Supplies (Agent/Broker)
,,,,5014,    Tires And Tubes (Selling)
,,,,5014,Tires And Tubes (Agent/Broker)
,,,,5020,    Furniture And Home Furnishings
,,,,5021,    Furniture (Selling)
,,,,5021,Furniture (Agent/Broker)
,,,,5023,Home Furnishings (Selling)
,,,,5023,Home Furnishings (Agent/Broker)
,,,,5030,    Lumber And Construction Materials
,,,,5031,"    Lumber, Plywood And Millwork (Selling)"
,,,,5031,"Lumber, Plywood And Millwork (Agent/Broker)"
,,,,5039,"Construction Materials, nec (Selling)"
,,,,5039,"    Construction Materials, nec (Agent/Broker)"
,,,,5040,"    Sporting Goods, Toys And Hobby Goods"
,,,,5041,    Sporting And Recreational Goods (Selling)
,,,,5041,    Sporting And Recreational Goods (Agent/Broker)
,,,,5042,    Toys And Hobby Goods And Supplies (Selling)
,,,,5042,    Toys And Hobby Goods And Supplies (Agent/Broker)
,,,,5043,    Photographic Equipment And Supplies (Selling)
,,,,5043,Photographic Equipment And Supplies (Agent/Broker)
,,,,5050,"    Metals And Minerals, Except Petroleum"
,,,,5051,    Metals Service Centers And Offices (Selling)
,,,,5051,    Metals Service Centers And Offices (Agent/Broker)
,,,,5052,    Coal And Other Minerals And Ores (Selling)
,,,,5052,Coal And Other Minerals And Ores (Agent/Broker)
,,,,5060,Electrical Goods
,,,,5063,Electrical Apparatus And Equipment (Selling)
,,,,5063,    Electrical Apparatus And Equipment (Agent/Broker)
,,,,5064,"    Electrical Appliances, TV And Radios (Selling)"
,,,,5064,"    Electrical Appliances, TV And Radios (Agent/Broker)"
,,,,5065,    Electronic Parts And Equipment (Selling)
,,,,5065,Electronic Parts And Equipment (Agent/Broker)
,,,,5070,"Hardware, Plumbing & Heating Equipment"
,,,,5072,Hardware (Selling)
,,,,5072,Hardware (Agent/Broker)
,,,,5074,Plumbing & Hydronic Heating Supplies (Selling)
,,,,5074,    Plumbing & Hydronic Heating Supplies (Agent/Broker)
,,,,5075,    Warm Air Heating & Air Conditioning (Selling)
,,,,5075,Warm Air Heating & Air Conditioning (Agent/Broker)
,,,,5078,Refrigeration Equipment And Supplies (Selling)
,,,,5078,Refrigeration Equipment And Supplies (Agent/Broker)
,,,,5080,"    Machinery, Equipment, And Supplies"
,,,,5081,    Commercial Machines And Equipment (Selling)
,,,,5081,    Commercial Machines And Equipment (Agent/Broker)
,,,,5082,    Construction And Mining Machinery (Selling)
,,,,5082,    Construction And Mining Machinery (Agent/Broker)
,,,,5083,    Farm Machinery And Equipment (Selling)
,,,,5083,    Farm Machinery And Equipment (Agent/Broker)
,,,,5084,    Industrial Machinery And Equipment (Selling)
,,,,5084,    Industrial Machinery And Equipment (Agent/Broker)
,,,,5085,    Industrial Supplies (Selling)
,,,,5085,Industrial Supplies (Agent/Broker)_
,,,,5086,Professional Equipment And Supplies (Selling)
,,,,5086,    Professional Equipment And Supplies (Agent/Broker)
,,,,5087,    Service Establishment Equipment (Selling)
,,,,5087,    Service Establishment Equipment (Agent/Broker)
,,,,5088,    Transportation Equipment & Supplies (Selling)
,,,,5088,Transportation Equipment & Supplies (Agent/Broker)
,,,,5090,Miscellaneous Durable Goods
,,,,5093,Scrap And Waste Materials (Selling)
,,,,5093,    Scrap And Waste Materials (Ggent/Broker)
,,,,5094,"    Jewelry, Watches, & Precious Stones (Selling)"
,,,,5094,"Jewelry, Watches, & Precious Stones (Agent/Broker)"
,,,,5099,"Durable Goods, nec (Selling)"
,,,,5099,"    Durable Goods, nec (Agent/Broker)"
,,,,5100,    Wholesale Trade-Nondurable Goods
,,,,5110,    Paper And Paper Products
,,,,5111,    Printing And Writing Paper (Selling)
,,,,5111,    Printing And Writing Paper (Agent/Broker)
,,,,5112,    Stationery Supplies (Selling)
,,,,5112,    Stationery Supplies (Agent/Broker)
,,,,5113,    Industrial & Personal Service Paper (Selling)
,,,,5113,Industrial & Personal Service Paper (Agent/Broker)
,,,,5120,"Drugs, Proprietaries, And Sundries"
,,,,5130,"Apparel, Piece Goods And Notions"
,,,,5133,Piece Goods (Selling)
,,,,5133,    Piece Goods (Agent/Broker)
,,,,5134,    Notions And Other Dry Goods (Selling)
,,,,5134,Notions And Other Dry Goods (Agent/Broker)
,,,,5136,Men's Clothing And Furnishings (Selling)
,,,,5136,    Men's Clothing And Furnishings (Agent/Broker)
,,,,5137,    Women's And Children's Clothing (Selling)
,,,,5137,Women's And Children's Clothing (Agent/Broker)
,,,,5139,Footwear (Selling)
,,,,5139,    Footwear (Agent/Broker)
,,,,5140,    Groceries And Related Products
,,,,5141,"    Groceries, General Line (Selling)"
,,,,5141,"    Groceries, General Line (Agent/Broker)"
,,,,5142,    Frozen Foods (Selling)
,,,,5142,    Frozen Foods (Agent/Broker)
,,,,5143,    Dairy Products (Selling)
,,,,5143,    Dairy Products (Agent/Broker)
,,,,5144,    Poultry And Poultry Products (Selling)
,,,,5144,    Poultry And Poultry Products (Agent/Broker)
,,,,5145,    Confectionery (Selling)
,,,,5145,    Confectionery (Agent/Broker)
,,,,5146,    Fish And Seafoods (Selling)
,,,,5146,    Fish And Seafoods (Agent/Broker)
,,,,5147,    Meats And Meat Products (Selling)
,,,,5147,    Meats And Meat Products (Agent/Broker)
,,,,5148,    Fresh Fruits And Vegatables (Selling)
,,,,5148,    Fresh Fruits And Vegetables (Agent/Broker)
,,,,5149,"    Groceries And Related Products, nec (Selling)"
,,,,5149,"    Groceries And Related Products, nec (Agent/Broker)"
,,,,5150,    Farm-Product Raw Materials
,,,,5152,Cotton (Selling)
,,,,5152,    Cotton (Agent/Broker)
,,,,5153,    Grain (Selling)
,,,,5153,    Grain (Agent/Broker)
,,,,5154,    Livestock (Selling)
,,,,5154,Livestock (Agent/Broker)
,,,,5159,"Farm-Product Raw Materilas, nec (Selling)"
,,,,5159,"    Farm-Product Raw Materials, nec (Agent/Broker)"
,,,,5160,    Chemicals And Allied Products
,,,,5170,    Petroleum And Petroleum Products
,,,,5171,    Petroleum Bulk Stations & Terminals (Selling)
,,,,5171,    Petroleum Bulk Stations & Terminals (Agent/Broker)
,,,,5172,"    Petroleum Products, nec (Selling)"
,,,,5172,"Petroleum Products, nec (Agent/Broker)"
,,,,5180,"    Beer, Wine, And Distilled Beverages"
,,,,5181,    Beer And Ale (Selling)
,,,,5181,    Beer And Ale (Agent/Broker)
,,,,5182,    Wines And Distilled Beverages (Selling)
,,,,5182,Wines And Distilled Beverages (Agent/Broker)
,,,,5190,    Misc. Nondurable Goods
,,,,5191,    Farm Supplies (Selling)
,,,,5191,Farm Supplies (Agent/Broker)
,,,,5194,Tobacco And Tobacco Products (Selling)
,,,,5194,Tobacco And Tobacco Products (Agent/Broker)
,,,,5198,"Paints, Varnishes, And Supplies (Selling)"
,,,,5198,"    Paints, Varnishes, And Supplies (Agent/Broker)"
,,,,5199,"    Nondurable Goods, nec (Selling)"
,,,,5199,"Nondurable Goods, nec (Agent/Broker)"
,,,,519\,WHO Administrative And Auxiliary
,,,,52--,Retail Trade
,,,,5200,Building Materials & Garden Supplies
,,,,5210,Lumber And Other Building Materials
,,,,5230,"Paint, Glass, And Wallpaper Stores"
,,,,5250,Hardware Stores
,,,,5260,Retail Nurseries And Garden Stores
,,,,5270,Mobile Home Dealers
,,,,5300,General Merchandise Stores
,,,,5310,Department Stores
,,,,5330,Variety Stores
,,,,5380,*
,,,,5390,Misc. General Merchandise Stores
,,,,5400,Food Stores
,,,,5410,Grocery Stores
,,,,5420,Meat Markets & Freezer Provisioners
,,,,5422,    Freezer And Locker Meat Provisioners
,,,,5423,    Meat And Fish (Seafood) Markets
,,,,5430,Fruit Stores And Vegetable Markets
,,,,5440,"Candy, Nut, And Confectionery Stores"
,,,,5450,Dairy Products Stores
,,,,5460,Retail Bakeries
,,,,5490,Miscellaneous Food Stores
,,,,5500,Automotive Dealers & Service Stations
,,,,5510,New And Used Car Dealers
,,,,5520,Used Car Dealers
,,,,5530,Auto And Home Supply Stores
,,,,5540,Gasoline Service Stations
,,,,5550,Boat Dealers
,,,,5560,Recreation & Utility Trailer Dealers
,,,,5570,Motorcycle Dealers
,,,,5590,"Automotive Dealers, nec"
,,,,5600,Apparel And Accessory Stores
,,,,5610,Men's & Boys' Clothing & Furnishings
,,,,5620,Women's Ready-To-Wear Stores
,,,,5630,Women's Accessory & Specialty Stores
,,,,5640,Children's And Infants' Wear Stores
,,,,5650,Family Clothing Stores
,,,,5660,Shoe Stores
,,,,5680,Furriers And Fur Shops
,,,,5690,Miscellaneous Apparel & Accessories
,,,,5700,Furniture And Home Furnishings Stores
,,,,5710,Furniture And Home Furnishings Stores
,,,,5712,    Furniture Stores
,,,,5713,    Floor Covering Stores
,,,,5714,    Drapery And Upholstery Stores
,,,,5719,    Misc. Home Furnishings Stores
,,,,5720,    Household Appliance Stores
,,,,5730,"Radio, Television, And Music Stores"
,,,,5732,    Radio And Television Stores
,,,,5733,    Music Stores
,,,,5800,Eating And Drinking Places
,,,,5810,*   Eating And Drinking Places
,,,,5812,    Eating Places
,,,,5813,    Drinking Places
,,,,5900,Miscellaneous Retail
,,,,5910,Drug Stores And Proprietary Stores
,,,,5920,Liquor Stores
,,,,5930,Used Merchandise Stores
,,,,5940,    Miscellaneous Shopping Goods Stores
,,,,5941,    Sporting Goods And Bicycle Shops
,,,,5942,    Book Stores
,,,,5943,    Stationery Stores
,,,,5944,    Jewelry Stores
,,,,5945,"    Hobby, Toy, And Game Shops"
,,,,5946,    Camera & Photographic Supply Stores
,,,,5947,"    Gift, Novelty, And Souvenir Shops"
,,,,5948,    Luggage And Leather Goods Stores
,,,,5949,"    Sewing, Needlework, And Piece Goods"
,,,,5960,    Nonstore Retailers
,,,,5961,    Mail Order Houses
,,,,5962,    Merchandising Machine Operators
,,,,5963,    Direct Selling Organizations
,,,,5980,Fuel And Ice Dealers
,,,,5982,"    Fuel And Ice Dealers, nec"
,,,,5983,    Fuel Oil Dealers
,,,,5984,    Liquified Petroleum Gas Dealers
,,,,5990,"Retail Stores, nec"
,,,,5992,Florists
,,,,5993,    Cigar Stores And Stands
,,,,5994,    News Dealers And Newsstands
,,,,5999,"Miscellaneous Retail Stores, nec"
,,,,599\,RET Administrative And Auxiliary
,,,,60--,"Finance, Insurance, And Real Estate"
,,,,6000,Banking
,,,,6010,Federal Reserve Banks
,,,,6020,Commercial And Stock Savings Banks
,,,,6030,Mutual Savings Banks
,,,,6040,"Trust Companies, Nondeposit"
,,,,6050,Functions Closely Related To Banking
,,,,6100,Credit Agencies Other Than Banks
,,,,6110,Rediscount And Financing Institutions
,,,,6112,"Rediscounting, Not For Agricultural"
,,,,6120,Savings And Loan Associations
,,,,6130,Agricultural Credit Institutions
,,,,6140,Personal Credit Institutions
,,,,6150,Business Credit Institutions
,,,,6160,Mortgage Bankers And Brokers
,,,,6200,"Security, Commodity Brokers & Services"
,,,,6210,Security Brokers And Dealers
,,,,6220,"Commodity Contracts Brokers, Dealers"
,,,,6230,Security And Commodity Exchanges
,,,,6280,Security And Commodity Services
,,,,6300,Insurance Carriers
,,,,6310,Life Insurance
,,,,6320,    Medical Service And Health Insurance
,,,,6321,    Accident And Health Insurance
,,,,6324,Hospital And Medical Service Plans
,,,,6330,"Fire, Marine, And Casualty Insurance"
,,,,6350,Surety Insurance
,,,,6360,Title Insurance
,,,,6370,"Pension, Health, And Welfare Funds"
,,,,6390,"Insurance Carriers, nec"
,,,,6400,"Insurance Agents, Brokers, & Service"
,,,,6410,"*   Insurance Agents, Brokers, & Service"
,,,,6500,Real Estate
,,,,6510,Real Estate Operators And Lessors
,,,,6530,Real Estate Agents And Managers
,,,,6540,Title Abstract Offices
,,,,6550,Subdividers And Developers
,,,,6552,"    Subdividers And Developers, nec"
,,,,6553,    Cemetery Subdividers And Developers
,,,,6600,"Combined Real Estate, Insurance, etc"
,,,,6610,"*   Combined Real Estate, Insurance, etc"
,,,,6700,Holding And Other Investment Offices
,,,,6710,Holding Offices
,,,,6720,Investment Offices
,,,,6730,Trusts
,,,,6732,"    Educational, Religious, etc. Trusts"
,,,,6733,"    Trusts, nec"
,,,,6790,Miscellaneous Investing
,,,,6794,Patent Owners And Lessors
,,,,6798,    Real Estate Investment Trusts
,,,,6799,"    Investors, nec"
,,,,679\,FIN Administrative And Auxiliary
,,,,70--,Services
,,,,7000,Hotels And Other Lodging  Places
,,,,7010,"Hotels, Motels, And Tourist Courts"
,,,,7020,Rooming And Boarding Houses
,,,,7030,Camps And Trailering Parks
,,,,7032,Sporting And Recreational Camps
,,,,7033,Trailering Parks For Transients
,,,,7040,Membership-Basis Organization Hotels
,,,,7200,Personal Services
,,,,7210,"    Laundry, Cleaning, & Garment Services"
,,,,7211,"    Power Laundries, Family & Commercial"
,,,,7212,    Garment Pressing & Cleaners' Agents
,,,,7213,    Linen Supply
,,,,7214,    Diaper Service
,,,,7215,    Coin-Operated Laundries And Cleaning
,,,,7216,"    Dry Cleaning Plants, Except Rug"
,,,,7217,    Carpet And Upholstery Cleaning
,,,,7218,    Industrial Launderers
,,,,7219,"    Laundry And Garment Services, nec"
,,,,7220,"    Photographic Studios, Portrait"
,,,,7230,Beauty Shops
,,,,7240,Barber Shops
,,,,7250,Shoe Repair And Hat Cleaning Shops
,,,,7260,Funeral Service And Crematories
,,,,7290,Miscellaneous Personal Services
,,,,7300,Business Services
,,,,7310,Advertising
,,,,7311,    Advertising Agencies
,,,,7312,    Outdoor Advertising Services
,,,,7313,"    Radio, TV, Publisher Representatives"
,,,,7319,"    Advertising, nec"
,,,,7320,    Credit Reporting And Collection
,,,,7330,"    Mailing, Reproduction, Stenographic"
,,,,7331,    Direct Mail Advertising Services
,,,,7332,    Blueprinting And Photocopying
,,,,7333,    Commercial Photography And Art
,,,,7339,"    Stenographic And Reproduction, nec"
,,,,7340,    Services To Buildings
,,,,7341,    Window Cleaning
,,,,7342,    Disinfecting And Exterminating
,,,,7349,"    Building Maintenance Services, nec"
,,,,7350,    News Syndicates
,,,,7360,    Personnel Supply Services
,,,,7361,    Employment Agencies
,,,,7362,    Temporary Help Supply Services
,,,,7369,"    Personnel Supply Services, nec"
,,,,7370,    Computer And Data Processing Services
,,,,7372,Computer Programming And Software
,,,,7374,Data Processing Services
,,,,7379,"Computer Related Services, nec"
,,,,7390,    Miscellaneous Business Services
,,,,7391,    Research & Development Laboratories
,,,,7392,    Management And Public Relations
,,,,7393,    Detective And Protective Services
,,,,7394,    Equipment Rental And Leasing
,,,,7395,    Photofinishing Laboratories
,,,,7396,    Trading Stamp Services
,,,,7397,    Commercial Testing Laboratories
,,,,7399,"Business Services, nec"
,,,,7500,"Auto Repair, Services, And Garages"
,,,,7510,"Automotive Rentals, Without Drivers"
,,,,7512,    Passenger Car Rental And Leasing
,,,,7513,    Truck Rental And Leasing
,,,,7519,    Utility Trailer Rental
,,,,7520,    Automobile Parking
,,,,7523,Parking Lots
,,,,7525,Parking Structures
,,,,7530,    Automotive Repair Shops
,,,,7531,    Top And Body Repair Shops
,,,,7534,    Tire Retreading And Repair Shops
,,,,7535,    Paint Shops
,,,,7538,    General Automotive Repair Shops
,,,,7539,"    Automotive Repair Shops, nec"
,,,,7540,"    Automotive Services, Except Repair"
,,,,7542,Car Washes
,,,,7549,"Automotive Services, nec"
,,,,7600,Miscellaneous Repair Services
,,,,7620,Electrical Repair Shops
,,,,7622,    Radio And Television Repair
,,,,7623,    Refrigeration Service And Repair
,,,,7629,"    Electrical Repair Shops, nec"
,,,,7630,"    Watch, Clock, And Jewelry Repair"
,,,,7640,Reupholstery And Furniture Repair
,,,,7690,Miscellaneous Repair Shops
,,,,7692,Welding Repair
,,,,7694,Armature Rewinding Shops
,,,,7699,"Repair Services, nec"
,,,,7800,Motion Pictures
,,,,7810,Motion Picture Production & Services
,,,,7813,"    Motion Picture Production, Except TV"
,,,,7814,    Motion Picture Production For TV
,,,,7819,    Services Allied To Motion Pictures
,,,,7820,    Motion Picture Distribution & Services
,,,,7823,    Motion Picture Film Exchanges
,,,,7824,    Film Or Tape Distribution For TV
,,,,7829,    Motion Picture Distribution Services
,,,,7830,    Motion Picture Theaters
,,,,7832,"    Motion Picture Theaters, EX Drive-in"
,,,,7833,    Drive-in Motion Picture Theaters
,,,,7900,"Amusement & Recreation Services, nec"
,,,,7910,"Dance Halls, Studios, And Schools"
,,,,7920,"Producers, Orchestras, Entertainers"
,,,,7922,Theatrical Producers And Services
,,,,7929,    Entertainers & Entertainment Groups
,,,,7930,    Bowling And Billiard Establishments
,,,,7932,    Billiard And Pool Establishments
,,,,7933,    Bowling Alleys
,,,,7940,    Commercial Sports
,,,,7941,"    Sports Clubs, Managers, & Promoters"
,,,,7948,"Racing, Including Track Operation"
,,,,7990,"Misc. Amusement, Recreational Services"
,,,,7992,    Public Golf Courses
,,,,7993,    Coin-operated Amusement Devices
,,,,7996,    Amusement Parks
,,,,7997,    Membership Sports & Recreation Clubs
,,,,7999,"    Amusement And Recreation, nec"
,,,,8000,    Health Services
,,,,8010,Offices Of Physicians
,,,,8020,Offices Of Dentists
,,,,8030,Offices Of Osteopathic Physicians
,,,,8040,    Offices Of Other Health Practitioners
,,,,8041,    Offices Of Chiropractors
,,,,8042,    Offices Of Optometrists
,,,,8049,"    Offices Of Health Practitioners, nec"
,,,,8050,    Nursing And Personal Care Facilities
,,,,8060,Hospitals
,,,,8070,    Medical And Dental Laboratories
,,,,8071,    Medical Laboratories
,,,,8072,    Dental Laboratories
,,,,8080,Outpatient Care Facilities
,,,,8090,"Health And Allied Services, nec"
,,,,8100,Legal Services
,,,,8110,*   Legal Services
,,,,8200,Educational Services
,,,,8210,Elementary And Secondary Schools
,,,,8220,Colleges And Universities
,,,,8230,Libraries And Information Centers
,,,,8240,    Correspondence And Vocational Schools
,,,,8241,    Correspondence Schools
,,,,8290,"Schools & Educational Services, nec"
,,,,8300,Social Services
,,,,8310,"Social Services,Nec"
,,,,8360,Residential Care
,,,,8361,*   Residential Care
,,,,8400,"Museums, Botanical, Zoological Gardens"
,,,,8410,Museums And Art Galleries
,,,,8420,Botanical And Zoological Gardens
,,,,8600,Membership Organizations
,,,,8610,Business Associations
,,,,8620,Professional Organizations
,,,,8630,Labor Organizations
,,,,8640,Civic And Social Associations
,,,,8650,Political Organizations
,,,,8660,Religious Organizations
,,,,8690,"Membership Organizations, nec"
,,,,8900,Miscellaneous Services
,,,,8910,Engineering & Architectural Services
,,,,8920,Noncommercial Research Organizations
,,,,8930,"Accounting, Auditing, & Bookkeeping"
,,,,8990,"Services, nec"
,,,,899\,SER Administrative And Auxiliary
,,,,99--,Unclassified Establishments